Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R33","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-117.800000,-120.400000,180.000000,bottom
"R34","40.2K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-119.450000,-111.160000,0.000000,bottom
"R35","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-116.975000,-110.525000,90.000000,bottom
"R41","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-138.760000,-108.010000,90.000000,bottom
"R42","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-131.880000,-108.490000,90.000000,bottom
"R43","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-138.760000,-105.740000,90.000000,bottom
"R44","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-132.910000,-107.290000,90.000000,bottom
"R49","DNF","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-145.110000,-107.130000,-90.000000,bottom
"U2","W25Q64JVSSIQ","SOIC-8_5.23x5.23mm_P1.27mm",-106.600000,-94.250000,-90.000000,bottom
"U3","RP2040","RP2040-QFN-56",-117.800000,-94.150000,-90.000000,bottom
"U8","MP1584EN-LF-Z","MP1584EN-LF-Z",-115.200000,-115.900000,-90.000000,bottom
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-127.400000,-92.350000,0.000000,bottom
"C10","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",132.910000,-107.220000,90.000000,top
"C11","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.750000,-107.190000,90.000000,top
"C18","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",101.900000,-94.488000,180.000000,top
"C19","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.510000,-105.725000,90.000000,top
"C20","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",143.100000,-106.300000,0.000000,top
"C21","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",167.050000,-120.700000,0.000000,top
"C22","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",167.150000,-95.800000,180.000000,top
